DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,ES,2015-01-01,58.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EU27_2020,2015-01-01,65.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,FI,2015-01-01,90.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,FR,2015-01-01,70.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,HR,2015-01-01,51.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,HU,2015-01-01,51.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IE,2015-01-01,75.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IS,2015-01-01,79.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IT,2015-01-01,44.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,JP,2015-01-01,75.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,KR,2015-01-01,54.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,LT,2015-01-01,59.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,LU,2015-01-01,85.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,LV,2015-01-01,56.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,ME,2015-01-01,44.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,MK,2015-01-01,42.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,MT,2015-01-01,60.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,NL,2015-01-01,84.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,NO,2015-01-01,88.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,PL,2015-01-01,63.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,PT,2015-01-01,64.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,RO,2015-01-01,46.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,RS,2015-01-01,40.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,RU,2015-01-01,29.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,SE,2015-01-01,89.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,SI,2015-01-01,60.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,SK,2015-01-01,51.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,TR,2015-01-01,42.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,UK,2015-01-01,81.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,US,2015-01-01,76.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,XK,2015-01-01,33.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,AL,2016-01-01,39.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,AT,2016-01-01,75.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BA,2016-01-01,39.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BE,2016-01-01,77.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BG,2016-01-01,41.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,CH,2016-01-01,86.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,CY,2016-01-01,55.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,CZ,2016-01-01,55.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,DE,2016-01-01,81.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,DK,2016-01-01,90.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EA21,2016-01-01,63.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EE,2016-01-01,70.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EL,2016-01-01,44.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,ES,2016-01-01,58.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EU27_2020,2016-01-01,64.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,FI,2016-01-01,89.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,FR,2016-01-01,69.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,HR,2016-01-01,49.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,HU,2016-01-01,48.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IE,2016-01-01,73.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IS,2016-01-01,78.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IT,2016-01-01,47.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,JP,2016-01-01,72.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,KR,2016-01-01,53.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,LT,2016-01-01,59.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,LU,2016-01-01,81.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,LV,2016-01-01,57.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,ME,2016-01-01,45.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,MK,2016-01-01,37.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,MT,2016-01-01,55.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,NL,2016-01-01,83.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,NO,2016-01-01,85.0,,
