DATAFLOW,LAST UPDATE,freq,lev_perc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,AT,2018-01-01,9.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,BE,2018-01-01,23.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,BG,2018-01-01,57.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,CY,2018-01-01,30.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,CZ,2018-01-01,35.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,DE,2018-01-01,17.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,DK,2018-01-01,9.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,EE,2018-01-01,12.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,EL,2018-01-01,31.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,ES,2018-01-01,49.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,EU27_2020,2018-01-01,34.0,e,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,FI,2018-01-01,10.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,FR,2018-01-01,31.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,HR,2018-01-01,69.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,HU,2018-01-01,30.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,IE,2018-01-01,19.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,IT,2018-01-01,53.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,LT,2018-01-01,29.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,LU,2018-01-01,9.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,LV,2018-01-01,41.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,MT,2018-01-01,27.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,NL,2018-01-01,10.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,PL,2018-01-01,45.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,PT,2018-01-01,43.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,RO,2018-01-01,39.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,SE,2018-01-01,14.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,SI,2018-01-01,54.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,SK,2018-01-01,58.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,UK,2018-01-01,20.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,AT,2018-01-01,81.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,BE,2018-01-01,64.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,BG,2018-01-01,30.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,CY,2018-01-01,55.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,CZ,2018-01-01,51.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,DE,2018-01-01,74.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,DK,2018-01-01,87.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,EE,2018-01-01,61.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,EL,2018-01-01,59.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,ES,2018-01-01,39.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,EU27_2020,2018-01-01,54.0,e,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,FI,2018-01-01,82.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,FR,2018-01-01,58.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,HR,2018-01-01,23.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,HU,2018-01-01,48.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,IE,2018-01-01,75.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,IT,2018-01-01,32.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,LT,2018-01-01,50.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,LU,2018-01-01,71.0,,
