DATAFLOW,LAST UPDATE,freq,iccs,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07031,P_HTHAB,SI,2016-01-01,9.64,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07031,P_HTHAB,SK,2016-01-01,1.31,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07031,P_HTHAB,TR,2016-01-01,2.18,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07031,P_HTHAB,XK,2016-01-01,2.71,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,AL,2016-01-01,12.69,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,AT,2016-01-01,6.46,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,BE,2016-01-01,7.8,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,BG,2016-01-01,0.43,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,CH,2016-01-01,7.96,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,CZ,2016-01-01,11.18,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,DE,2016-01-01,14.04,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,DK,2016-01-01,0.07,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,EE,2016-01-01,5.17,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,EL,2016-01-01,0.24,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,ES,2016-01-01,0.56,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,FI,2016-01-01,6.74,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,FR,2016-01-01,1.67,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,HR,2016-01-01,1.38,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,HU,2016-01-01,0.52,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,IT,2016-01-01,2.98,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,LI,2016-01-01,180.75,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,LT,2016-01-01,1.11,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,LV,2016-01-01,6.09,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,MT,2016-01-01,17.1,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,NL,2016-01-01,3.59,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,NO,2016-01-01,2.19,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,PL,2016-01-01,0.89,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,PT,2016-01-01,0.17,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,RO,2016-01-01,4.83,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,RS,2016-01-01,0.17,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,SE,2016-01-01,20.01,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,SI,2016-01-01,2.47,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,SK,2016-01-01,2.14,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,TR,2016-01-01,1.26,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07041,P_HTHAB,XK,2016-01-01,0.23,,
