DATAFLOW,LAST UPDATE,freq,unit,worktime,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,LV,2012-01-01,17.6,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,MT,2012-01-01,8.0,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,NL,2012-01-01,15.9,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,NO,2012-01-01,12.3,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,PL,2012-01-01,6.2,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,PT,2012-01-01,14.7,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,SE,2012-01-01,13.2,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,SK,2012-01-01,19.9,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,UK,2012-01-01,17.2,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,BE,2012-01-01,6.2,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,BG,2012-01-01,0.5,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,CH,2012-01-01,14.0,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,DE,2012-01-01,5.4,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,DK,2012-01-01,7.1,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,ES,2012-01-01,31.9,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,FI,2012-01-01,15.4,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,HU,2012-01-01,10.4,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,IE,2012-01-01,9.5,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,IS,2012-01-01,6.8,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,IT,2012-01-01,-1.4,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,LT,2012-01-01,3.4,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,LV,2012-01-01,4.2,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,MT,2012-01-01,-0.4,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,NL,2012-01-01,6.3,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,NO,2012-01-01,-0.4,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,PL,2012-01-01,13.5,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,PT,2012-01-01,26.7,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,SE,2012-01-01,7.3,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,SK,2012-01-01,24.0,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,UK,2012-01-01,14.7,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,BE,2013-01-01,1.9,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,BG,2013-01-01,14.6,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,CH,2013-01-01,18.4,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,DE,2013-01-01,19.3,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,DK,2013-01-01,18.5,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,ES,2013-01-01,13.4,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,FI,2013-01-01,17.8,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,HR,2013-01-01,7.4,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,HU,2013-01-01,20.3,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,IE,2013-01-01,9.0,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,IS,2013-01-01,16.6,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,IT,2013-01-01,0.7,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,LT,2013-01-01,13.6,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,LV,2013-01-01,19.0,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,MT,2013-01-01,9.8,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,NL,2013-01-01,14.3,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,NO,2013-01-01,12.4,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,PL,2013-01-01,6.9,,
