DATAFLOW,LAST UPDATE,freq,spscheme,spdep,spdepm,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,BG,2005-01-01,0.96,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,CH,2005-01-01,1.5,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,CY,2005-01-01,1.92,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,CZ,2005-01-01,1.67,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,DE,2005-01-01,2.99,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,DK,2005-01-01,3.69,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,EA19,2005-01-01,2.08,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,EE,2005-01-01,1.48,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,EL,2005-01-01,0.8,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,ES,2005-01-01,1.16,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,FI,2005-01-01,2.86,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,FR,2005-01-01,2.66,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,HU,2005-01-01,2.42,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,IE,2005-01-01,2.28,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,IS,2005-01-01,2.81,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,IT,2005-01-01,0.9,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,LT,2005-01-01,1.15,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,LU,2005-01-01,3.59,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,LV,2005-01-01,1.29,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,MT,2005-01-01,1.07,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,NL,2005-01-01,1.26,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,NO,2005-01-01,2.83,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,PL,2005-01-01,0.92,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,PT,2005-01-01,1.15,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,RO,2005-01-01,1.86,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,SE,2005-01-01,2.84,p,
