DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,SE,2003-01-01,1.71,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,SI,2003-01-01,1.2,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,SK,2003-01-01,1.2,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,UK,2003-01-01,1.7,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,AL,2004-01-01,1.86,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,AT,2004-01-01,1.42,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,BE,2004-01-01,1.72,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,BG,2004-01-01,1.33,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,CH,2004-01-01,1.42,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,CY,2004-01-01,1.52,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,CZ,2004-01-01,1.23,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,DE,2004-01-01,1.36,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,DE_TOT,2004-01-01,1.36,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,DK,2004-01-01,1.78,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EE,2004-01-01,1.47,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EEA30_2007,2004-01-01,1.5,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EEA31,2004-01-01,1.5,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EFTA,2004-01-01,1.59,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EL,2004-01-01,1.31,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,ES,2004-01-01,1.31,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EU27_2007,2004-01-01,1.5,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EU27_2020,2004-01-01,1.46,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EU28,2004-01-01,1.5,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,FI,2004-01-01,1.8,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,FR,2004-01-01,1.92,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,FX,2004-01-01,1.9,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,HR,2004-01-01,1.43,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,HU,2004-01-01,1.28,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,IE,2004-01-01,1.93,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,IS,2004-01-01,2.04,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,IT,2004-01-01,1.34,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LI,2004-01-01,1.44,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LT,2004-01-01,1.27,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LU,2004-01-01,1.66,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LV,2004-01-01,1.29,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,MK,2004-01-01,1.52,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,MT,2004-01-01,1.4,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,NL,2004-01-01,1.72,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,NO,2004-01-01,1.83,,
