DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,EE,2013-01-01,81,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,EL,2013-01-01,879,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,ES,2013-01-01,1680,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,EU27_2020,2013-01-01,24226,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,FI,2013-01-01,258,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,FR,2013-01-01,3268,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,HR,2013-01-01,368,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,HU,2013-01-01,591,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,IE,2013-01-01,188,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,IS,2013-01-01,15,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,IT,2013-01-01,3401,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LI,2013-01-01,2,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LT,2013-01-01,256,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LU,2013-01-01,45,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LV,2013-01-01,179,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,MT,2013-01-01,17,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,NL,2013-01-01,476,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,NO,2013-01-01,187,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,PL,2013-01-01,3357,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,PT,2013-01-01,637,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,RO,2013-01-01,1861,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,SE,2013-01-01,260,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,SI,2013-01-01,125,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,SK,2013-01-01,251,,
