DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,PL,2014-01-01,1.4,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,SE,2014-01-01,1.1,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EE,2015-01-01,1.8,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EL,2015-01-01,2.5,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,ES,2015-01-01,0.8,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,IT,2015-01-01,1.1,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,NO,2015-01-01,1.3,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,PL,2015-01-01,1.5,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,SE,2015-01-01,1.0,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EE,2016-01-01,2.2,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EL,2016-01-01,2.1,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,ES,2016-01-01,0.8,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,IT,2016-01-01,1.2,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,NO,2016-01-01,1.4,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,PL,2016-01-01,1.5,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,SE,2016-01-01,1.0,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EE,2017-01-01,1.9,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EL,2017-01-01,2.5,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,ES,2017-01-01,0.8,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,IT,2017-01-01,1.2,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,NO,2017-01-01,1.5,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,PL,2017-01-01,1.7,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,SE,2017-01-01,1.0,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EE,2018-01-01,1.9,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EL,2018-01-01,2.3,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,ES,2018-01-01,0.7,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,IT,2018-01-01,1.2,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,NO,2018-01-01,1.5,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,PL,2018-01-01,1.6,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,SE,2018-01-01,1.0,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EE,2019-01-01,2.0,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EL,2019-01-01,2.0,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,ES,2019-01-01,0.7,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,IT,2019-01-01,1.2,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,NO,2019-01-01,1.7,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,PL,2019-01-01,1.6,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,SE,2019-01-01,1.0,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EE,2020-01-01,2.3,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EL,2020-01-01,2.5,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,ES,2020-01-01,0.8,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,IT,2020-01-01,1.3,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,NO,2020-01-01,1.8,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,PL,2020-01-01,1.7,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,SE,2020-01-01,1.1,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EE,2021-01-01,2.0,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EL,2021-01-01,2.7,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,ES,2021-01-01,0.8,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,IT,2021-01-01,1.3,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,NO,2021-01-01,1.5,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,PL,2021-01-01,1.5,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,SE,2021-01-01,1.2,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EE,2022-01-01,2.1,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EL,2022-01-01,2.6,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,ES,2022-01-01,1.0,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,IT,2022-01-01,1.1,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,NO,2022-01-01,1.2,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,PL,2022-01-01,1.6,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,SE,2022-01-01,1.5,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EE,2023-01-01,3.0,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EL,2023-01-01,2.2,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,ES,2023-01-01,0.8,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,IT,2023-01-01,1.1,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,NO,2023-01-01,1.5,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,PL,2023-01-01,1.9,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,SE,2023-01-01,1.5,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EE,2024-01-01,3.6,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,EL,2024-01-01,2.1,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,ES,2024-01-01,0.7,p,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,IT,2024-01-01,1.2,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,NO,2024-01-01,1.8,,
ESTAT:GOV_10A_EXP(1.0),27/03/26 23:00:00,A,PC_GDP,S13,GF0201,TE,SE,2024-01-01,1.7,,
