DATAFLOW,LAST UPDATE,freq,nabs07,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,ES,2016-01-01,1.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EU27_2020,2016-01-01,2.86,e,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,FI,2016-01-01,1.93,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,FR,2016-01-01,7.17,e,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,HR,2016-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,HU,2016-01-01,0.13,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,IE,2016-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,IS,2016-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,IT,2016-01-01,0.62,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,JP,2016-01-01,2.97,bd,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,KR,2016-01-01,14.01,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,LT,2016-01-01,0.25,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,LU,2016-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,LV,2016-01-01,2.66,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,MT,2016-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,NL,2016-01-01,1.24,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,NO,2016-01-01,3.68,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,PL,2016-01-01,15.49,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,PT,2016-01-01,0.31,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,RO,2016-01-01,1.75,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,RS,2016-01-01,2.74,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,SE,2016-01-01,3.42,e,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,SI,2016-01-01,0.16,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,SK,2016-01-01,1.53,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,TR,2016-01-01,11.1,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,UK,2016-01-01,15.79,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,US,2016-01-01,42.65,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,AT,2017-01-01,0.17,d,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,BA,2017-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,BE,2017-01-01,0.09,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,BG,2017-01-01,0.61,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,CH,2017-01-01,0.34,b,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,CY,2017-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,CZ,2017-01-01,1.26,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,DE,2017-01-01,3.83,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,DK,2017-01-01,0.32,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EA20,2017-01-01,,,C
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EA21,2017-01-01,,,C
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EE,2017-01-01,1.89,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EL,2017-01-01,1.75,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,ES,2017-01-01,1.08,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EU27_2020,2017-01-01,,,C
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,FI,2017-01-01,2.21,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,FR,2017-01-01,7.97,e,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,HR,2017-01-01,0.01,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,HU,2017-01-01,0.4,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,IE,2017-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,IS,2017-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,IT,2017-01-01,0.6,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,JP,2017-01-01,2.74,bd,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,KR,2017-01-01,15.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,LT,2017-01-01,0.15,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,LU,2017-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,LV,2017-01-01,,,C
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,MT,2017-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,NL,2017-01-01,1.1,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,NO,2017-01-01,3.45,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,PL,2017-01-01,9.24,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,PT,2017-01-01,0.32,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,RO,2017-01-01,4.47,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,RS,2017-01-01,5.31,,
