DATAFLOW,LAST UPDATE,freq,unit,sex,age,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,P,EU27_2020,2017-01-01,9992.9,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,Q,EU27_2020,2017-01-01,16113.8,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,C,EU27_2020,2017-01-01,22501.7,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,F,EU27_2020,2017-01-01,11737.0,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,J,EU27_2020,2017-01-01,3943.7,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,P,EU27_2020,2017-01-01,3871.8,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,Q,EU27_2020,2017-01-01,4486.1,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,C,EU27_2020,2018-01-01,9743.3,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,F,EU27_2020,2018-01-01,1264.8,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,J,EU27_2020,2018-01-01,1793.7,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,P,EU27_2020,2018-01-01,10231.5,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,Q,EU27_2020,2018-01-01,16335.3,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,C,EU27_2020,2018-01-01,22648.6,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,F,EU27_2020,2018-01-01,11921.0,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,J,EU27_2020,2018-01-01,4156.1,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,P,EU27_2020,2018-01-01,3905.9,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,Q,EU27_2020,2018-01-01,4553.5,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,C,EU27_2020,2019-01-01,9756.0,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,F,EU27_2020,2019-01-01,1296.6,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,J,EU27_2020,2019-01-01,1885.1,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,P,EU27_2020,2019-01-01,10420.1,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,Q,EU27_2020,2019-01-01,16696.7,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,C,EU27_2020,2019-01-01,22737.8,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,F,EU27_2020,2019-01-01,12113.0,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,J,EU27_2020,2019-01-01,4343.5,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,P,EU27_2020,2019-01-01,4031.2,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,Q,EU27_2020,2019-01-01,4677.6,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,C,EU27_2020,2020-01-01,9553.3,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,F,EU27_2020,2020-01-01,1257.1,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,J,EU27_2020,2020-01-01,2016.7,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,P,EU27_2020,2020-01-01,10292.8,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,Q,EU27_2020,2020-01-01,16570.9,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,C,EU27_2020,2020-01-01,22589.6,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,F,EU27_2020,2020-01-01,11615.3,,
