DATAFLOW,LAST UPDATE,freq,border,unit,reason,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2015-01-01,15.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2015-01-01,162775.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2015-01-01,5790.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2015-01-01,162775.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2015-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2015-01-01,520.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2015-01-01,40.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2015-01-01,250.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2015-01-01,540.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2015-01-01,2760.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2016-01-01,5.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2016-01-01,185085.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,IT,2016-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2016-01-01,17230.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2016-01-01,185090.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,IT,2016-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2016-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2016-01-01,930.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2016-01-01,40.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2016-01-01,275.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2016-01-01,965.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2016-01-01,3725.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2017-01-01,5.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2017-01-01,194580.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,IT,2017-01-01,15.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2017-01-01,19990.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2017-01-01,194590.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,IT,2017-01-01,250.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2017-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2017-01-01,1790.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2017-01-01,45.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2017-01-01,420.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2017-01-01,1880.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2017-01-01,4395.0,,
