DATAFLOW,LAST UPDATE,freq,frequenc,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,LT,2007-01-01,98.4,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,LV,2007-01-01,96.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,MT,2007-01-01,82.6,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,PL,2007-01-01,97.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,PT,2007-01-01,92.2,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,RO,2007-01-01,95.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,SI,2007-01-01,97.4,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,SK,2007-01-01,99.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,TR,2007-01-01,88.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,AT,2007-01-01,97.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,BE,2007-01-01,88.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,BG,2007-01-01,89.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,CY,2007-01-01,90.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,CZ,2007-01-01,96.5,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,DE,2007-01-01,92.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,EE,2007-01-01,98.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,EL,2007-01-01,85.6,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,ES,2007-01-01,88.4,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,FI,2007-01-01,99.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,HR,2007-01-01,94.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,HU,2007-01-01,96.4,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,LT,2007-01-01,98.6,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,LV,2007-01-01,97.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,MT,2007-01-01,82.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,PL,2007-01-01,97.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,PT,2007-01-01,86.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,RO,2007-01-01,92.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,SI,2007-01-01,97.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,SK,2007-01-01,99.4,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,T,PC,TR,2007-01-01,76.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,AT,2007-01-01,2.5,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,BE,2007-01-01,8.5,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,BG,2007-01-01,5.5,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,CY,2007-01-01,9.2,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,CZ,2007-01-01,9.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,EE,2007-01-01,2.5,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,EL,2007-01-01,10.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,ES,2007-01-01,7.4,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,FI,2007-01-01,1.2,u,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,HR,2007-01-01,5.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,HU,2007-01-01,4.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,LT,2007-01-01,2.4,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,LV,2007-01-01,3.0,u,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,MT,2007-01-01,8.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,PL,2007-01-01,5.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,PT,2007-01-01,8.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,RO,2007-01-01,13.5,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,SI,2007-01-01,3.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,SK,2007-01-01,2.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,F,PC,TR,2007-01-01,8.5,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,AT,2007-01-01,1.9,u,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,BE,2007-01-01,7.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,BG,2007-01-01,4.6,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,CY,2007-01-01,4.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,CZ,2007-01-01,6.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,EE,2007-01-01,3.1,u,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,EL,2007-01-01,6.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,ES,2007-01-01,5.4,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,FI,2007-01-01,,u,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,HR,2007-01-01,4.2,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,HU,2007-01-01,3.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,LT,2007-01-01,3.1,u,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,LV,2007-01-01,5.2,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,MT,2007-01-01,5.4,u,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,PL,2007-01-01,7.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,PT,2007-01-01,5.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,RO,2007-01-01,9.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,SI,2007-01-01,2.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,SK,2007-01-01,2.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,M,PC,TR,2007-01-01,5.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,AT,2007-01-01,2.2,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,BE,2007-01-01,7.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,BG,2007-01-01,5.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,CY,2007-01-01,7.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,CZ,2007-01-01,7.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,EE,2007-01-01,2.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,EL,2007-01-01,8.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,ES,2007-01-01,6.4,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,FI,2007-01-01,1.1,u,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,HR,2007-01-01,5.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,HU,2007-01-01,4.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,LT,2007-01-01,2.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,LV,2007-01-01,4.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,MT,2007-01-01,6.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,PL,2007-01-01,6.4,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,PT,2007-01-01,7.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,RO,2007-01-01,11.6,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,SI,2007-01-01,3.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,SK,2007-01-01,2.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1M,T,PC,TR,2007-01-01,6.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,AT,2007-01-01,26.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,BE,2007-01-01,34.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,BG,2007-01-01,38.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,CY,2007-01-01,44.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,CZ,2007-01-01,37.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,EE,2007-01-01,23.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,EL,2007-01-01,35.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,ES,2007-01-01,30.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,FI,2007-01-01,10.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,HR,2007-01-01,32.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,HU,2007-01-01,27.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,LT,2007-01-01,30.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,LV,2007-01-01,28.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,MT,2007-01-01,41.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,PL,2007-01-01,44.5,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,PT,2007-01-01,35.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,RO,2007-01-01,37.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,SI,2007-01-01,26.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,SK,2007-01-01,30.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,F,PC,TR,2007-01-01,23.5,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,AT,2007-01-01,18.3,,
