DATAFLOW,LAST UPDATE,freq,frequenc,isced97,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,CZ,2007-01-01,97.2,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,DE,2007-01-01,95.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,EE,2007-01-01,98.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,EL,2007-01-01,95.2,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,ES,2007-01-01,94.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,FI,2007-01-01,99.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,HR,2007-01-01,97.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,HU,2007-01-01,98.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,LT,2007-01-01,99.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,LV,2007-01-01,98.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,MT,2007-01-01,97.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,PL,2007-01-01,98.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,PT,2007-01-01,97.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,RO,2007-01-01,99.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,SI,2007-01-01,98.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,SK,2007-01-01,99.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,ED5_6,PC,TR,2007-01-01,98.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,AT,2007-01-01,97.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,BE,2007-01-01,88.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,BG,2007-01-01,89.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,CY,2007-01-01,90.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,CZ,2007-01-01,96.5,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,DE,2007-01-01,92.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,EE,2007-01-01,98.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,EL,2007-01-01,85.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,ES,2007-01-01,88.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,FI,2007-01-01,99.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,HR,2007-01-01,94.8,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,HU,2007-01-01,96.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,LT,2007-01-01,98.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,LV,2007-01-01,97.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,MT,2007-01-01,82.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,PL,2007-01-01,97.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,PT,2007-01-01,86.7,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,RO,2007-01-01,92.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,SI,2007-01-01,97.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,SK,2007-01-01,99.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1,TOTAL,PC,TR,2007-01-01,76.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,AT,2007-01-01,3.1,u,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,BE,2007-01-01,7.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,BG,2007-01-01,10.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,CY,2007-01-01,9.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,CZ,2007-01-01,13.9,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,EE,2007-01-01,5.2,u,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,EL,2007-01-01,11.6,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,ES,2007-01-01,8.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,FI,2007-01-01,,u,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,HR,2007-01-01,10.0,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,HU,2007-01-01,7.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,LT,2007-01-01,7.3,u,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,LV,2007-01-01,9.4,u,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,MT,2007-01-01,7.1,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,PL,2007-01-01,11.4,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,PT,2007-01-01,8.3,,
ESTAT:CULT_PCS_NWE(1.0),26/02/16 23:00:00,A,GE1M,ED0-2,PC,RO,2007-01-01,17.5,,
